Covidence #,Study ID,Title,Reviewer Name,DOI,Trial Registry Number,Parent study DOI,Trial Phase,N randomized,N analyzed (if applicable),Target Population,Sex-specific population?,Psychedelic/Intervention Drug(s),Co-administration/Pre-treatment Drug(s),Comparator Drug,Cognitive,Drug experience questionnaires,Molecular,Neuroimaging,Physiological/Autonomic,PK/PD,Psychiatric,Functioning and well-being,Psychological process,Safety & tolerability,Sensorimotor & perception,Somatic health,Therapy process,Trial integrity,Other outcomes,What is the qualitative outcome?,Notes
29096,Clark 2015,Acute effects of MDMA on autonomic cardiac activity and their relation to subjective prosocial and stimulant effects.,Madison Baltazar,10.1111/psyp.12327,"","",1,33,"",healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
29093,Baggott 2010,"Investigating the mechanisms of hallucinogen-induced visions using 3,4-methylenedioxyamphetamine (MDA): a randomized controlled trial in humans.",Analiese Lahey,10.1371/journal.pone.0014074,NCT00823407,"",1,12,12,healthy volunteers,"",Other: MDA,"","placebo (niacin, mannitol, sugar pill, etc.)",Other: Object recognition,Acute,"","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","","","","","",vison,"","","","","",""
29071,Becker 2022,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double-Blind, Placebo-Controlled, Crossover Study in Healthy Subjects.",Analiese Lahey,10.1002/cpt.2487,NCT03912974,"",1,27,23,healthy volunteers,"",psilocybin,SSRI,"placebo (niacin, mannitol, sugar pill, etc.)","",Acute,"gene expression; proteins (BDNF, inflammatory)","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)",PK,"","","","adverse events (structured, detailed reporting); cardiovascular safety (QTc, arrhythmia, etc)","","","","","","",""
29010,Agurto 2020,"Detection of acute 3,4-methylenedioxymethamphetamine (MDMA) effects across protocols using automated natural language processing.",Parker Singleton,10.1038/s41386-020-0620-4,"",10.1038/npp.2014.12,Unregistered,35,31,healthy volunteers,"",MDMA,Other: oxytocin,"placebo (niacin, mannitol, sugar pill, etc.); low-dose intervention drug","","","","","","","","","","",speech (incl. NLP methods),"","","","","",""
28975,Carter 2005,Modulating the rate and rhythmicity of perceptual rivalry alternations with the mixed 5-HT2A and 5-HT1A agonist psilocybin.,Analiese Lahey,10.1038/sj.npp.1300621,"","",Unregistered,12,"",healthy volunteers,"",psilocybin,"","placebo (niacin, mannitol, sugar pill, etc.); low-dose intervention drug","",Acute,"","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","","","","","",vison,"","","","","",""
28889,Agin-Liebes 2025,Self-compassion mediates treatment effects in MDMA-assisted therapy for posttraumatic stress disorder.,Madison Baltazar,10.1080/20008066.2025.2485513,NCT03537014,"",3,90,"",PTSD,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
28859,CampagnoliAPS 2020,Subjective time under altered states of consciousness in ayahuasca users in shamanistic rituals involving music.,Analiese Lahey,10.1590/1414-431X20209278,"","",Unregistered,15,9,healthy volunteers,"",ayahuasca,"",low-dose intervention drug,"","","","","","","","","","",Other: Time perception ,"","","","","",""
28826,Abraham 2009,"Urinary MDMA, MDA, HMMA, and HMA excretion following controlled MDMA administration to humans.",Parker Singleton,10.1093/jat/33.8.439,"","",Unregistered,"",16,healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.); low-dose intervention drug","","","","","",PK,"","","","","","","","","","",""
28826,Abraham 2009,"Urinary MDMA, MDA, HMMA, and HMA excretion following controlled MDMA administration to humans.",Analiese Lahey,10.1093/jat/33.8.439,"",10.1097/FTD.0b013e3181684fa0 ,Unregistered,16,16,healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.); low-dose intervention drug","","","","","",PK,"","","","","","","","","","",""
28776,Bershad 2017,MDMA does not alter responses to the Trier Social Stress Test in humans.,Analiese Lahey,0.1007/s00213-017-4621-x.,"","",Unregistered,39,"",healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.); low-dose intervention drug","",Acute,hormones,"","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","","","",Other: Stress response,"cardiovascular safety (QTc, arrhythmia, etc)","","","","","","",""
28728,Gorodetzky 1964,"A comparison of 2,3-dihydro-lysergic acid diethylamide with LSD-25.",Analiese Lahey,10.1007/BF00404013,"","","",6,"",opioid use disorder,"",LSD,"","placebo (niacin, mannitol, sugar pill, etc.); Other: 2,3-LSD","","","","","","","","","","","","","","","","",""
28717,Bouso 2008,MDMA-assisted psychotherapy using low doses in a small sample of women with chronic posttraumatic stress disorder.,Analiese Lahey,10.1080/02791072.2008.10400637,"","",Unregistered,29,6,PTSD,female,MDMA,"","placebo (niacin, mannitol, sugar pill, etc.); diphenhydramine","",Acute,"","","vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","",anxiety; depression; PTSD,global functioning (GAF/WHODAS); occupational/role functioning; social functioning & sociability; Other: Fear scale,Other: Self esteem,"adverse events (structured, detailed reporting)","","",therapeutic alliance,"",qualitative (describe),Semi-structured interview about sexual assault,""
28697,Bershad 2020,Preliminary Report on the Effects of a Low Dose of LSD on Resting-State Amygdala Functional Connectivity.,Analiese Lahey,10.1016/j.bpsc.2019.12.007,NCT03790358,"",1,20,"",healthy volunteers,"",LSD,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
28697,Bershad 2020,Preliminary Report on the Effects of a Low Dose of LSD on Resting-State Amygdala Functional Connectivity.,Parker Singleton,10.1016/j.bpsc.2019.12.007,NCT03790358,"",1,20,"",healthy volunteers,"",LSD,"","placebo (niacin, mannitol, sugar pill, etc.)","",Acute,"",resting-state fMRI; ASL,"vitals (HR, HRV, BP, respiratory rate, temperature, etc.)","",general mood/affect,"","","","","","","","","",""
28636,Dolder 2018,"Direct comparison of the acute subjective, emotional, autonomic, and endocrine effects of MDMA, methylphenidate, and modafinil in healthy subjects.",Analiese Lahey,10.1007/s00213-017-4650-5,NCT01951508,"",1,24,"",healthy volunteers,"",MDMA,"","placebo (niacin, mannitol, sugar pill, etc.); methylphenidate; Other: modafinil","","","","","","","","","","","","","","","","",""
28630,Bravermanová 2018,Psilocybin disrupts sensory and higher order cognitive processing but not pre-attentive cognitive processing-study on P300 and mismatch negativity in healthy volunteers.,Madison Baltazar,10.1007/s00213-017-4807-2,"","",1,20,"",healthy volunteers,"",psilocybin,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
28574,Alonso 2015,Serotonergic psychedelics temporarily modify information transfer in humans.,Madison Baltazar,10.1093/ijnp/pyv039,"","",1,10,"",healthy volunteers,"",ayahuasca,"","placebo (niacin, mannitol, sugar pill, etc.)","","","","","","","","","","","","","","","","",""
28571,Barbanoj 2008,Daytime Ayahuasca administration modulates REM and slow-wave sleep in healthy volunteers.,Madison Baltazar,10.1007/s00213-007-0963-0,"","",1,22,"",healthy volunteers,"",ayahuasca,"","placebo (niacin, mannitol, sugar pill, etc.); d-amphetamine","","","","","","","","","","","","","","","","",""
